Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Tue May 24 08:00:17 EDT 2016,1464091217,983000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:18 EDT 2016,1464091218,984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:19 EDT 2016,1464091219,984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:20 EDT 2016,1464091220,984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:21 EDT 2016,1464091221,984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:23 EDT 2016,1464091223,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:24 EDT 2016,1464091224,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:25 EDT 2016,1464091225,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:26 EDT 2016,1464091226,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:27 EDT 2016,1464091227,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:28 EDT 2016,1464091228,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:29 EDT 2016,1464091229,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:30 EDT 2016,1464091230,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:31 EDT 2016,1464091231,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:32 EDT 2016,1464091232,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:33 EDT 2016,1464091233,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:34 EDT 2016,1464091234,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:35 EDT 2016,1464091235,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:36 EDT 2016,1464091236,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:37 EDT 2016,1464091237,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:38 EDT 2016,1464091238,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:39 EDT 2016,1464091239,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:40 EDT 2016,1464091240,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:41 EDT 2016,1464091241,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:42 EDT 2016,1464091242,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:43 EDT 2016,1464091243,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:44 EDT 2016,1464091244,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:45 EDT 2016,1464091245,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:46 EDT 2016,1464091246,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:47 EDT 2016,1464091247,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:48 EDT 2016,1464091248,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:49 EDT 2016,1464091249,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:50 EDT 2016,1464091250,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:51 EDT 2016,1464091251,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:52 EDT 2016,1464091252,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:53 EDT 2016,1464091253,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:54 EDT 2016,1464091254,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:55 EDT 2016,1464091255,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:56 EDT 2016,1464091256,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:57 EDT 2016,1464091257,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:58 EDT 2016,1464091258,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:00:59 EDT 2016,1464091259,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:00 EDT 2016,1464091260,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:01 EDT 2016,1464091261,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:02 EDT 2016,1464091262,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:03 EDT 2016,1464091263,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:04 EDT 2016,1464091264,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:05 EDT 2016,1464091265,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:06 EDT 2016,1464091266,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:07 EDT 2016,1464091267,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:08 EDT 2016,1464091268,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:09 EDT 2016,1464091269,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:10 EDT 2016,1464091270,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:11 EDT 2016,1464091271,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:12 EDT 2016,1464091272,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:13 EDT 2016,1464091273,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:14 EDT 2016,1464091274,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:15 EDT 2016,1464091275,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:16 EDT 2016,1464091276,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:17 EDT 2016,1464091277,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:18 EDT 2016,1464091278,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:19 EDT 2016,1464091279,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:20 EDT 2016,1464091280,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:21 EDT 2016,1464091281,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:22 EDT 2016,1464091282,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:23 EDT 2016,1464091283,91000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:24 EDT 2016,1464091284,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:25 EDT 2016,1464091285,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:26 EDT 2016,1464091286,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:27 EDT 2016,1464091287,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:28 EDT 2016,1464091288,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:29 EDT 2016,1464091289,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:30 EDT 2016,1464091290,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:31 EDT 2016,1464091291,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:32 EDT 2016,1464091292,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:33 EDT 2016,1464091293,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
Tue May 24 08:01:34 EDT 2016,1464091294,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,0,0,0,
